id	doomednum	spawnstate	spawnhealth	seestate	seesound	reactiontime	attacksound	painstate	painchance	painsound	meleestate	missilestate	deathstate	xdeathstate	deathsound	speed	radius	height	mass	damage	activesound	flags	raisestate
36	-1	667	1000	0	8	8	0	0	0	0	0	0	669	0	17	1638400	851968	524288	100	5	0	67088	0
37	-1	93	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	528	0
38	-1	90	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	16	0
39	-1	130	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	528	0
40	-1	142	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	528	0
41	14	0	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	24	0
42	-1	123	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	528	0
43	2018	802	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	1	0
44	2019	804	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	1	0
45	2014	816	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	8388609	0
46	2015	822	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	8388609	0
47	5	828	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	33554433	0
48	13	830	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	33554433	0
49	6	832	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	33554433	0
50	39	838	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	33554433	0
51	38	836	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	33554433	0
52	40	834	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	33554433	0
53	2011	840	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	1	0
54	2012	841	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	1	0
55	2013	842	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	8388609	0
56	2022	848	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	8388609	0
57	2023	852	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	8388609	0
58	2024	853	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	8388609	0
59	2025	861	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	1	0
60	2026	862	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	8388609	0
61	2045	868	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	8388609	0
62	83	857	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	8388609	0
63	2007	870	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	1	0
64	2048	871	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	1	0
65	2010	872	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	1	0
66	2046	873	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	1	0
67	2047	874	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	1	0
68	17	875	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	1	0
69	2008	876	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	1	0
70	2049	877	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	1	0
71	8	878	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	1	0
72	2006	879	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	1	0
73	2002	880	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	1	0
74	2005	881	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	1	0
75	2003	882	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	1	0
76	2004	883	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	1	0
77	2001	884	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	1	0
78	82	885	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	1	0
79	85	959	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
80	86	963	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
81	2028	886	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
82	30	907	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
83	31	908	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
84	32	909	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
85	33	910	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
86	37	913	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
87	36	924	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
88	41	917	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
89	42	921	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
90	43	914	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
91	44	926	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
92	45	930	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
93	46	934	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
94	55	938	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
95	56	942	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
96	57	946	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
97	47	906	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
98	48	916	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
99	34	911	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	0	0
100	35	912	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
101	49	888	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	4456448	100	0	0	770	0
102	50	902	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	5505024	100	0	0	770	0
103	51	903	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	5505024	100	0	0	770	0
104	52	904	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	4456448	100	0	0	770	0
105	53	905	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	3407872	100	0	0	770	0
106	59	902	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	5505024	100	0	0	768	0
107	60	904	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	4456448	100	0	0	768	0
108	61	903	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	3407872	100	0	0	768	0
109	62	905	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	3407872	100	0	0	768	0
110	63	888	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	4456448	100	0	0	768	0
111	22	515	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	0	0
112	15	164	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	0	0
113	18	193	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	0	0
114	21	495	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	0	0
115	23	600	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	0	0
116	20	461	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	0	0
117	19	226	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	0	0
118	10	173	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	0	0
119	12	173	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	0	0
120	28	894	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
121	24	895	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	0	0
122	27	896	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
123	29	897	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
124	25	899	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
125	26	900	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
126	54	915	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	2097152	1048576	100	0	0	2	0
127	70	813	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	1048576	100	0	0	2	0
128	73	950	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	5767168	100	0	0	770	0
129	74	951	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	5767168	100	0	0	770	0
130	75	952	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	4194304	100	0	0	770	0
131	76	953	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	4194304	100	0	0	770	0
132	77	954	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	4194304	100	0	0	770	0
133	78	955	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1048576	4194304	100	0	0	770	0
134	79	956	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	16	0
135	80	957	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	16	0
136	81	958	1000	0	0	8	0	0	0	0	0	0	0	0	0	0	1310720	1048576	100	0	0	16	0
