id	sprite	frame	tics	action	nextstate	misc1	misc2
239	30	8	5	0	240	0	0
240	30	7	5	0	209	0	0
241	31	0	10	43	242	0	0
242	31	1	10	43	241	0	0
243	31	0	2	70	244	0	0
244	31	0	2	70	245	0	0
245	31	1	2	70	246	0	0
246	31	1	2	70	247	0	0
247	31	2	2	70	248	0	0
248	31	2	2	70	249	0	0
249	31	3	2	70	250	0	0
250	31	3	2	70	251	0	0
251	31	4	2	70	252	0	0
252	31	4	2	70	253	0	0
253	31	5	2	70	254	0	0
254	31	5	2	70	243	0	0
255	31	32774	0	71	256	0	0
256	31	32774	10	20	257	0	0
257	31	32775	8	72	258	0	0
258	31	32776	8	20	259	0	0
259	31	32777	8	20	260	0	0
260	31	32778	8	20	261	0	0
261	31	32779	8	20	262	0	0
262	31	32780	8	20	263	0	0
263	31	32781	8	20	264	0	0
264	31	32782	8	69	265	0	0
265	31	32783	20	0	243	0	0
266	31	32794	10	0	267	0	0
267	31	32795	10	0	268	0	0
268	31	32796	10	0	243	0	0
269	31	16	5	0	270	0	0
270	31	16	5	47	243	0	0
271	31	16	7	0	272	0	0
272	31	17	7	58	273	0	0
273	31	18	7	21	274	0	0
274	31	19	7	0	275	0	0
275	31	20	7	0	276	0	0
276	31	21	7	0	277	0	0
277	31	22	7	0	278	0	0
278	31	23	5	0	279	0	0
279	31	24	5	0	280	0	0
280	31	25	-1	0	0	0	0
281	32	32768	2	66	282	0	0
282	32	32769	2	26	283	0	0
283	32	32768	2	26	284	0	0
284	32	32769	2	26	285	0	0
285	32	32770	2	29	286	0	0
286	32	32769	2	26	287	0	0
287	32	32770	2	26	288	0	0
288	32	32769	2	26	289	0	0
289	32	32770	2	26	290	0	0
290	32	32771	2	26	291	0	0
291	32	32770	2	26	292	0	0
292	32	32771	2	26	293	0	0
293	32	32770	2	26	294	0	0
294	32	32771	2	26	295	0	0
295	32	32772	2	26	296	0	0
296	32	32771	2	26	297	0	0
297	32	32772	2	26	298	0	0
298	32	32771	2	26	299	0	0
299	32	32772	2	29	300	0	0
300	32	32773	2	26	301	0	0
301	32	32772	2	26	302	0	0
302	32	32773	2	26	303	0	0
303	32	32772	2	26	304	0	0
304	32	32773	2	26	305	0	0
305	32	32774	2	26	306	0	0
306	32	32775	2	26	307	0	0
307	32	32774	2	26	308	0	0
308	32	32775	2	26	309	0	0
309	32	32774	2	26	310	0	0
310	32	32775	2	26	0	0	0
311	17	1	4	0	312	0	0
312	17	2	4	0	313	0	0
313	17	1	4	0	314	0	0
314	17	2	4	0	315	0	0
315	17	3	4	0	0	0	0
316	33	32768	2	67	317	0	0
317	33	32769	2	67	316	0	0
318	34	32768	8	0	319	0	0
319	34	32769	6	0	320	0	0
320	34	32770	4	0	0	0	0
321	35	0	10	43	322	0	0
322	35	1	10	43	321	0	0
323	35	0	2	15	324	0	0
324	35	0	2	15	325	0	0
325	35	1	2	15	326	0	0
326	35	1	2	15	327	0	0
327	35	2	2	15	328	0	0
328	35	2	2	15	329	0	0
329	35	3	2	15	330	0	0
330	35	3	2	15	331	0	0
331	35	4	2	15	332	0	0
332	35	4	2	15	333	0	0
333	35	5	2	15	334	0	0
334	35	5	2	15	323	0	0
335	35	6	0	20	336	0	0
336	35	6	6	61	337	0	0
337	35	7	6	20	338	0	0
338	35	8	6	59	323	0	0
339	35	32777	0	20	340	0	0
340	35	32777	10	20	341	0	0
341	35	10	10	60	342	0	0
342	35	10	10	20	323	0	0
343	35	11	5	0	344	0	0
344	35	11	5	47	323	0	0
345	35	11	7	0	346	0	0
346	35	12	7	0	347	0	0
347	35	13	7	58	348	0	0
348	35	14	7	21	349	0	0
349	35	15	7	0	350	0	0
350	35	16	-1	0	0	0	0
351	35	16	5	0	352	0	0
352	35	15	5	0	353	0	0
353	35	14	5	0	354	0	0
354	35	13	5	0	355	0	0
355	35	12	5	0	356	0	0
356	35	11	5	0	323	0	0
357	36	32768	4	0	358	0	0
358	36	32769	4	0	357	0	0
359	22	32769	8	0	360	0	0
360	22	32770	6	0	361	0	0
361	22	32771	4	0	0	0	0
362	37	0	15	43	363	0	0
363	37	1	15	43	362	0	0
364	37	0	4	15	365	0	0
365	37	0	4	15	366	0	0
366	37	1	4	15	367	0	0
367	37	1	4	15	368	0	0
368	37	2	4	15	369	0	0
369	37	2	4	15	370	0	0
370	37	3	4	15	371	0	0
371	37	3	4	15	372	0	0
372	37	4	4	15	373	0	0
373	37	4	4	15	374	0	0
374	37	5	4	15	375	0	0
375	37	5	4	15	364	0	0
376	37	6	20	25	377	0	0
377	37	32775	10	22	378	0	0
378	37	8	5	20	379	0	0
379	37	6	5	20	380	0	0
380	37	32775	10	23	381	0	0
381	37	8	5	20	382	0	0
382	37	6	5	20	383	0	0
383	37	32775	10	24	384	0	0
384	37	8	5	20	385	0	0
385	37	6	5	20	364	0	0
386	37	9	3	0	387	0	0
387	37	9	3	47	364	0	0
388	37	10	6	0	389	0	0
389	37	11	6	58	390	0	0
390	37	12	6	21	391	0	0
391	37	13	6	0	392	0	0
392	37	14	6	0	393	0	0
393	37	15	6	0	394	0	0
394	37	16	6	0	395	0	0
395	37	17	6	0	396	0	0
396	37	18	6	0	397	0	0
397	37	19	-1	4	0	0	0
398	37	17	5	0	399	0	0
399	37	16	5	0	400	0	0
400	37	15	5	0	401	0	0
401	37	14	5	0	402	0	0
402	37	13	5	0	403	0	0
403	37	12	5	0	404	0	0
404	37	11	5	0	405	0	0
405	37	10	5	0	364	0	0
406	38	0	10	43	407	0	0
407	38	1	10	43	406	0	0
408	38	0	3	15	409	0	0
409	38	0	3	15	410	0	0
410	38	1	3	15	411	0	0
411	38	1	3	15	412	0	0
412	38	2	3	15	413	0	0
413	38	2	3	15	414	0	0
414	38	3	3	15	415	0	0
415	38	3	3	15	408	0	0
416	38	4	10	20	417	0	0
417	38	32773	4	13	418	0	0
418	38	32772	4	13	419	0	0
419	38	5	1	14	417	0	0
420	38	6	3	0	421	0	0
421	38	6	3	47	408	0	0
422	38	7	5	0	423	0	0
423	38	8	5	58	424	0	0
424	38	9	5	21	425	0	0
425	38	10	5	0	426	0	0
426	38	11	5	0	427	0	0
427	38	12	5	0	428	0	0
428	38	13	-1	0	0	0	0
429	38	14	5	0	430	0	0
430	38	15	5	74	431	0	0
431	38	16	5	21	432	0	0
432	38	17	5	0	433	0	0
433	38	18	5	0	434	0	0
434	38	19	-1	0	0	0	0
435	38	13	5	0	436	0	0
436	38	12	5	0	437	0	0
437	38	11	5	0	438	0	0
438	38	10	5	0	439	0	0
439	38	9	5	0	440	0	0
440	38	8	5	0	441	0	0
441	38	7	5	0	408	0	0
442	0	0	10	43	443	0	0
443	0	1	10	43	442	0	0
444	0	0	3	15	445	0	0
445	0	0	3	15	446	0	0
446	0	1	3	15	447	0	0
447	0	1	3	15	448	0	0
448	0	2	3	15	449	0	0
449	0	2	3	15	450	0	0
450	0	3	3	15	451	0	0
451	0	3	3	15	444	0	0
452	0	4	8	20	453	0	0
453	0	5	8	20	454	0	0
454	0	6	6	68	444	0	0
455	0	7	2	0	456	0	0
456	0	7	2	47	444	0	0
457	0	8	8	0	458	0	0
458	0	9	8	58	459	0	0
459	0	10	6	0	460	0	0
460	0	11	6	21	461	0	0
461	0	12	-1	0	0	0	0
462	0	13	5	0	463	0	0
463	0	14	5	74	464	0	0
464	0	15	5	0	465	0	0
465	0	16	5	21	466	0	0
466	0	17	5	0	467	0	0
467	0	18	5	0	468	0	0
468	0	19	5	0	469	0	0
469	0	20	-1	0	0	0	0
470	0	12	8	0	471	0	0
471	0	11	8	0	472	0	0
472	0	10	6	0	473	0	0
473	0	9	6	0	474	0	0
474	0	8	6	0	444	0	0
475	39	0	10	43	476	0	0
476	39	1	10	43	475	0	0
477	39	0	2	15	478	0	0
478	39	0	2	15	479	0	0
479	39	1	2	15	480	0	0
480	39	1	2	15	481	0	0
481	39	2	2	15	482	0	0
482	39	2	2	15	483	0	0
483	39	3	2	15	484	0	0
484	39	3	2	15	477	0	0
485	39	4	8	20	486	0	0
486	39	5	8	20	487	0	0
487	39	6	8	56	477	0	0
488	39	7	2	0	489	0	0
489	39	7	2	47	477	0	0
490	39	8	8	0	491	0	0
491	39	9	8	58	492	0	0
492	39	10	4	0	493	0	0
493	39	11	4	21	494	0	0
494	39	12	4	0	495	0	0
495	39	13	-1	0	0	0	0
496	39	13	5	0	497	0	0
497	39	12	5	0	498	0	0
498	39	11	5	0	499	0	0
499	39	10	5	0	500	0	0
500	39	9	5	0	501	0	0
501	39	8	5	0	477	0	0
502	40	0	10	43	502	0	0
503	40	0	3	15	503	0	0
504	40	1	5	20	505	0	0
505	40	2	5	20	506	0	0
506	40	32771	5	36	503	0	0
507	40	4	3	0	508	0	0
508	40	4	3	47	509	0	0
509	40	5	6	0	503	0	0
510	40	6	8	0	511	0	0
511	40	7	8	58	512	0	0
512	40	8	8	0	513	0	0
513	40	9	8	0	514	0	0
514	40	10	8	21	515	0	0
515	40	11	-1	0	0	0	0
516	40	11	8	0	517	0	0
517	40	10	8	0	518	0	0
518	40	9	8	0	519	0	0
519	40	8	8	0	520	0	0
520	40	7	8	0	521	0	0
521	40	6	8	0	503	0	0
522	41	32768	4	0	523	0	0
523	41	32769	4	0	522	0	0
524	41	32770	6	0	525	0	0
525	41	32771	6	0	526	0	0
526	41	32772	6	0	0	0	0
527	42	0	10	43	528	0	0
528	42	1	10	43	527	0	0
529	42	0	3	15	530	0	0
530	42	0	3	15	531	0	0
531	42	1	3	15	532	0	0
532	42	1	3	15	533	0	0
533	42	2	3	15	534	0	0
534	42	2	3	15	535	0	0
535	42	3	3	15	536	0	0
536	42	3	3	15	529	0	0
537	42	4	8	20	538	0	0
538	42	5	8	20	539	0	0
539	42	6	8	11	529	0	0
540	42	7	2	0	541	0	0
541	42	7	2	47	529	0	0
542	42	8	8	0	543	0	0
543	42	9	8	58	544	0	0
544	42	10	8	0	545	0	0
545	42	11	8	21	546	0	0
546	42	12	8	0	547	0	0
547	42	13	8	0	548	0	0
548	42	14	-1	4	0	0	0
549	42	14	8	0	550	0	0
550	42	13	8	0	551	0	0
551	42	12	8	0	552	0	0
552	42	11	8	0	553	0	0
553	42	10	8	0	554	0	0
554	42	9	8	0	555	0	0
555	42	8	8	0	529	0	0
556	43	0	10	43	557	0	0
557	43	1	10	43	556	0	0
558	43	0	3	15	559	0	0
559	43	0	3	15	560	0	0
560	43	1	3	15	561	0	0
561	43	1	3	15	562	0	0
562	43	2	3	15	563	0	0
563	43	2	3	15	564	0	0
564	43	3	3	15	565	0	0
565	43	3	3	15	558	0	0
566	43	4	8	20	567	0	0
567	43	5	8	20	568	0	0
568	43	6	8	11	558	0	0
569	43	7	2	0	570	0	0
570	43	7	2	47	558	0	0
571	43	8	8	0	572	0	0
572	43	9	8	58	573	0	0
573	43	10	8	0	574	0	0
574	43	11	8	21	575	0	0
575	43	12	8	0	576	0	0
576	43	13	8	0	577	0	0
577	43	14	-1	0	0	0	0
578	43	14	8	0	579	0	0
579	43	13	8	0	580	0	0
580	43	12	8	0	581	0	0
581	43	11	8	0	582	0	0
582	43	10	8	0	583	0	0
583	43	9	8	0	584	0	0
584	43	8	8	0	558	0	0
585	44	32768	10	43	586	0	0
586	44	32769	10	43	585	0	0
587	44	32768	6	15	588	0	0
588	44	32769	6	15	587	0	0
589	44	32770	10	20	590	0	0
590	44	32771	4	62	591	0	0
591	44	32770	4	0	592	0	0
592	44	32771	4	0	591	0	0
593	44	32772	3	0	594	0	0
594	44	32772	3	47	587	0	0
595	44	32773	6	0	596	0	0
596	44	32774	6	58	597	0	0
597	44	32775	6	0	598	0	0
598	44	32776	6	21	599	0	0
599	44	9	6	0	600	0	0
600	44	10	6	0	0	0	0
601	45	0	10	43	602	0	0
602	45	1	10	43	601	0	0
603	45	0	3	45	604	0	0
604	45	0	3	15	605	0	0
605	45	1	3	15	606	0	0
606	45	1	3	15	607	0	0
607	45	2	3	45	608	0	0
608	45	2	3	15	609	0	0
609	45	3	3	15	610	0	0
610	45	3	3	15	611	0	0
611	45	4	3	45	612	0	0
612	45	4	3	15	613	0	0
613	45	5	3	15	614	0	0
614	45	5	3	15	603	0	0
615	45	32768	20	20	616	0	0
616	45	32774	4	55	617	0	0
617	45	32775	4	55	618	0	0
618	45	32775	1	65	616	0	0
619	45	8	3	0	620	0	0
620	45	8	3	47	603	0	0
621	45	9	20	58	622	0	0
622	45	10	10	21	623	0	0
623	45	11	10	0	624	0	0
624	45	12	10	0	625	0	0
625	45	13	10	0	626	0	0
626	45	14	10	0	627	0	0
627	45	15	10	0	628	0	0
628	45	16	10	0	629	0	0
629	45	17	10	0	630	0	0
630	45	18	30	0	631	0	0
631	45	18	-1	4	0	0	0
632	46	0	10	43	633	0	0
633	46	1	10	43	632	0	0
634	46	0	20	0	635	0	0
635	46	0	3	3	636	0	0
636	46	0	3	15	637	0	0
637	46	1	3	15	638	0	0
638	46	1	3	15	639	0	0
639	46	2	3	15	640	0	0
640	46	2	3	15	641	0	0
641	46	3	3	3	642	0	0
642	46	3	3	15	643	0	0
643	46	4	3	15	644	0	0
644	46	4	3	15	645	0	0
645	46	5	3	15	646	0	0
646	46	5	3	15	635	0	0
647	46	32768	20	20	648	0	0
648	46	32774	4	12	649	0	0
649	46	32775	4	0	650	0	0
650	46	32775	1	65	648	0	0
651	46	8	3	0	652	0	0
652	46	8	3	47	635	0	0
653	46	9	20	58	654	0	0
654	46	10	7	21	655	0	0
655	46	11	7	0	656	0	0
656	46	12	7	0	657	0	0
657	46	13	7	0	658	0	0
658	46	14	7	0	659	0	0
659	46	15	-1	4	0	0	0
660	46	15	5	0	661	0	0
661	46	14	5	0	662	0	0
662	46	13	5	0	663	0	0
663	46	12	5	0	664	0	0
664	46	11	5	0	665	0	0
665	46	10	5	0	666	0	0
666	46	9	5	0	635	0	0
667	47	32768	5	0	668	0	0
668	47	32769	5	0	667	0	0
669	48	32768	5	0	670	0	0
670	48	32769	5	0	671	0	0
671	48	32770	5	0	672	0	0
672	48	32771	5	0	673	0	0
673	48	32772	5	0	0	0	0
674	49	0	10	43	675	0	0
675	49	1	10	43	674	0	0
676	49	0	3	37	677	0	0
677	49	0	3	15	678	0	0
678	49	1	3	15	679	0	0
679	49	1	3	15	680	0	0
680	49	2	3	15	681	0	0
681	49	2	3	15	682	0	0
682	49	3	3	45	683	0	0
683	49	3	3	15	676	0	0
684	49	4	6	20	685	0	0
685	49	5	12	18	686	0	0
686	49	4	12	20	687	0	0
687	49	5	12	18	688	0	0
688	49	4	12	20	689	0	0
689	49	5	12	18	676	0	0
690	49	6	10	47	676	0	0
691	49	7	10	0	692	0	0
692	49	8	10	58	693	0	0
693	49	9	10	0	694	0	0
694	49	10	10	0	695	0	0
695	49	11	10	0	696	0	0
696	49	12	10	21	697	0	0
697	49	13	10	0	698	0	0
698	49	14	10	0	699	0	0
699	49	15	30	0	700	0	0
700	49	15	-1	4	0	0	0
701	50	0	10	43	701	0	0
702	50	0	3	15	703	0	0
703	50	0	3	15	704	0	0
704	50	1	3	15	705	0	0
705	50	1	3	15	706	0	0
706	50	2	3	15	707	0	0
707	50	2	3	15	702	0	0
708	50	3	5	20	709	0	0
709	50	4	5	20	710	0	0
710	50	32773	5	20	711	0	0
711	50	32773	0	48	702	0	0
712	50	6	6	0	713	0	0
713	50	6	6	47	702	0	0
714	50	32775	8	0	715	0	0
715	50	32776	8	58	716	0	0
716	50	32777	8	0	717	0	0
717	50	32778	8	0	718	0	0
718	50	32779	8	49	719	0	0
719	50	32780	8	0	0	0	0
720	50	12	8	0	721	0	0
721	50	11	8	0	722	0	0
722	50	10	8	0	723	0	0
723	50	9	8	0	724	0	0
724	50	8	8	0	725	0	0
725	50	7	8	0	702	0	0
726	51	0	10	43	727	0	0
727	51	1	10	43	726	0	0
728	51	0	3	15	729	0	0
729	51	0	3	15	730	0	0
730	51	1	3	15	731	0	0
731	51	1	3	15	732	0	0
732	51	2	3	15	733	0	0
733	51	2	3	15	734	0	0
734	51	3	3	15	735	0	0
735	51	3	3	15	728	0	0
736	51	4	10	20	737	0	0
737	51	5	10	20	738	0	0
738	51	32774	4	13	739	0	0
739	51	5	6	20	740	0	0
740	51	32774	4	13	741	0	0
741	51	5	1	14	737	0	0
742	51	7	3	0	743	0	0
743	51	7	3	47	728	0	0
744	51	8	5	0	745	0	0
745	51	9	5	58	746	0	0
746	51	10	5	21	747	0	0
747	51	11	5	0	748	0	0
748	51	12	-1	0	0	0	0
749	51	13	5	0	750	0	0
750	51	14	5	74	751	0	0
751	51	15	5	21	752	0	0
752	51	16	5	0	753	0	0
753	51	17	5	0	754	0	0
754	51	18	5	0	755	0	0
755	51	19	5	0	756	0	0
756	51	20	5	0	757	0	0
757	51	21	-1	0	0	0	0
758	51	12	5	0	759	0	0
759	51	11	5	0	760	0	0
760	51	10	5	0	761	0	0
761	51	9	5	0	762	0	0
762	51	8	5	0	728	0	0
763	52	0	-1	0	763	0	0
764	52	0	6	0	765	0	0
765	52	1	6	0	766	0	0
766	52	2	6	58	767	0	0
767	52	3	6	0	768	0	0
768	52	4	6	0	769	0	0
769	52	5	6	0	770	0	0
770	52	6	6	0	771	0	0
771	52	7	6	0	772	0	0
772	52	8	6	0	773	0	0
773	52	9	6	0	774	0	0
774	52	10	6	38	775	0	0
775	52	11	-1	0	0	0	0
776	52	12	4	0	777	0	0
777	52	12	8	47	763	0	0
778	53	0	-1	0	0	0	0
779	53	1	36	8	778	0	0
780	53	0	100	9	781	0	0
781	53	0	10	0	782	0	0
782	53	0	10	0	783	0	0
783	53	0	-1	6	0	0	0
784	51	0	10	43	784	0	0
785	51	0	181	5	786	0	0
786	51	0	150	10	786	0	0
787	54	32768	3	64	788	0	0
788	54	32769	3	63	789	0	0
789	54	32770	3	63	790	0	0
790	54	32771	3	63	787	0	0
791	32	32768	4	26	792	0	0
792	32	32769	4	26	793	0	0
793	32	32770	4	26	794	0	0
794	32	32771	4	26	795	0	0
795	32	32772	4	26	796	0	0
796	32	32773	4	26	797	0	0
797	32	32774	4	26	798	0	0
798	32	32775	4	26	0	0	0
799	22	32769	10	0	800	0	0
800	22	32770	10	0	801	0	0
801	22	32771	10	7	0	0	0
802	55	0	6	0	803	0	0
803	55	32769	7	0	802	0	0
804	56	0	6	0	805	0	0
805	56	32769	6	0	804	0	0
806	57	0	6	0	807	0	0
807	57	1	6	0	806	0	0
808	58	32768	5	0	809	0	0
809	58	32769	5	58	810	0	0
810	58	32770	5	0	811	0	0
811	58	32771	10	19	812	0	0
812	58	32772	10	0	0	0	0
813	59	32768	4	0	814	0	0
814	59	32769	4	0	815	0	0
815	59	32770	4	0	813	0	0
816	60	0	6	0	817	0	0
817	60	1	6	0	818	0	0
818	60	2	6	0	819	0	0
819	60	3	6	0	820	0	0
820	60	2	6	0	821	0	0
821	60	1	6	0	816	0	0
822	61	0	6	0	823	0	0
823	61	1	6	0	824	0	0
824	61	2	6	0	825	0	0
825	61	3	6	0	826	0	0
826	61	2	6	0	827	0	0
827	61	1	6	0	822	0	0
828	62	0	10	0	829	0	0
829	62	32769	10	0	828	0	0
830	63	0	10	0	831	0	0
831	63	32769	10	0	830	0	0
832	64	0	10	0	833	0	0
833	64	32769	10	0	832	0	0
834	65	0	10	0	835	0	0
835	65	32769	10	0	834	0	0
836	66	0	10	0	837	0	0
837	66	32769	10	0	836	0	0
838	67	0	10	0	839	0	0
839	67	32769	10	0	838	0	0
840	68	0	-1	0	0	0	0
841	69	0	-1	0	0	0	0
842	70	32768	6	0	843	0	0
843	70	32769	6	0	844	0	0
844	70	32770	6	0	845	0	0
845	70	32771	6	0	846	0	0
846	70	32770	6	0	847	0	0
847	70	32769	6	0	842	0	0
848	71	32768	6	0	849	0	0
849	71	32769	6	0	850	0	0
850	71	32770	6	0	851	0	0
851	71	32771	6	0	848	0	0
852	72	32768	-1	0	0	0	0
853	73	32768	6	0	854	0	0
854	73	32769	6	0	855	0	0
